"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A^∨B)_P(¬A∨B)_P(¬B∨¬A)"
"175","4_2_3_1","2_4_3_1","4_1_3_2"
"176","3_2_4_1","4_1_3_2","3_2_4_1"
"177","3_1_4_2","3_4_2_1","4_1_3_2"
"178","4_1_3_2","3_4_2_1","4_3_1_2"
"179","4_1_3_2","4_3_2_1","4_3_2_1"
"180","2_3_4_1","4_1_2_3","1_3_4_2"
"181","1_4_3_2","3_1_2_4","1_3_4_2"
"182","1_4_3_2","2_1_3_4","1_3_4_2"
"183","1_4_3_2","2_1_3_4","1_2_4_3"
"184","1_4_3_2","2_1_4_3","2_1_4_3"
"185","1_4_3_2","2_1_3_4","2_1_4_3"
"186","1_4_3_2","3_1_2_4","1_2_4_3"
"187","3_1_4_2","2_4_3_1","4_1_2_3"
"188","2_3_4_1","3_1_4_2","2_1_4_3"
"189","1_3_4_2","3_1_2_4","1_3_4_2"
"190","4_1_3_2","4_3_2_1","4_2_3_1"
"191","4_1_3_2","3_4_2_1","4_3_2_1"
"192","3_2_4_1","2_4_3_1","4_2_1_3"
"193","1_3_4_2","3_1_4_2","3_1_4_2"
"194","4_1_3_2","2_4_3_1","4_1_2_3"
"195","2_3_4_1","2_1_4_3","3_1_4_2"
"196","3_1_4_2","2_3_4_1","4_1_2_3"
"197","1_3_4_2","4_1_2_3","2_3_4_1"
"198","4_1_3_2","2_3_4_1","4_1_2_3"
"199","4_1_3_2","4_3_2_1","4_3_1_2"
"200","4_2_3_1","2_4_3_1","4_1_2_3"
"201","1_4_3_2","4_1_2_3","2_3_4_1"
"202","4_2_3_1","4_2_3_1","4_2_3_1"
"203","3_1_4_2","4_2_3_1","4_3_2_1"
"204","1_4_3_2","4_1_2_3","1_3_4_2"
"205","2_4_3_1","4_1_2_3","1_3_4_2"
"206","3_1_4_2","4_3_2_1","4_2_3_1"
"207","3_2_4_1","4_2_3_1","4_3_2_1"
"208","4_1_3_2","2_3_4_1","4_2_1_3"
"209","2_4_3_1","3_1_2_4","1_3_4_2"
"210","3_1_4_2","2_4_3_1","4_2_1_3"
"211","1_4_3_2","3_1_4_2","2_1_4_3"
"212","3_2_4_1","4_1_2_3","2_3_4_1"
"213","2_3_4_1","2_3_4_1","4_1_2_3"
"214","2_3_4_1","2_3_4_1","4_1_3_2"
"215","3_2_4_1","4_1_3_2","2_3_4_1"
"216","3_2_4_1","4_1_2_3","3_2_4_1"
"217","1_3_4_2","4_1_2_3","1_3_4_2"
"218","4_1_3_2","4_3_1_2","3_4_2_1"
"219","4_1_3_2","4_2_1_3","3_4_2_1"
"220","4_1_3_2","4_2_1_3","2_4_3_1"
"221","4_1_3_2","4_3_1_2","2_4_3_1"
"222","1_4_3_2","1_2_4_3","2_1_3_4"
"223","2_3_4_1","1_3_4_2","3_1_2_4"
"224","1_4_3_2","1_2_4_3","2_1_4_3"
"225","1_4_3_2","1_3_4_2","3_1_2_4"
"226","1_4_3_2","1_2_4_3","3_1_2_4"
"227","1_4_3_2","1_3_4_2","2_1_3_4"
"228","4_1_3_2","4_3_1_2","4_3_2_1"
"229","3_2_4_1","4_2_1_3","2_4_3_1"
"230","3_1_4_2","4_1_2_3","2_3_4_1"
"231","4_1_3_2","4_3_2_1","3_4_2_1"
"232","3_1_4_2","4_1_2_3","2_4_3_1"
"233","4_1_3_2","4_2_1_3","2_3_4_1"
"234","4_2_3_1","4_2_1_3","2_3_4_1"
"235","4_2_3_1","4_1_2_3","2_4_3_1"
"236","3_2_4_1","4_2_1_3","2_3_4_1"
"237","2_3_4_1","3_2_4_1","4_1_2_3"
"238","1_4_3_2","1_3_4_2","4_1_2_3"
"239","1_4_3_2","2_1_4_3","2_1_3_4"
"240","1_3_4_2","1_3_4_2","4_1_2_3"
"241","3_2_4_1","4_1_2_3","2_4_3_1"
"242","1_4_3_2","2_3_4_1","3_1_2_4"
"243","3_1_4_2","4_2_1_3","2_3_4_1"
"244","2_4_3_1","2_3_4_1","3_1_2_4"
"245","2_4_3_1","1_3_4_2","4_1_2_3"
"246","2_4_3_1","1_3_4_2","3_1_2_4"
"247","1_4_3_2","2_3_4_1","4_1_2_3"
"248","1_3_4_2","1_3_4_2","3_1_2_4"
"249","4_1_2_3","4_3_1_2","4_3_2_1"
"250","4_1_2_3","4_3_1_2","3_4_2_1"
"251","4_1_2_3","4_2_1_3","2_4_3_1"
"252","1_2_3_4","4_1_2_3","2_3_4_1"
"253","1_4_3_2","4_1_2_3","2_4_3_1"
"254","4_1_2_3","3_4_2_1","4_3_1_2"
"255","4_1_3_2","3_4_1_2","4_3_2_1"
"256","2_4_3_1","4_1_2_3","1_4_3_2"
"257","1_4_2_3","3_1_2_4","1_3_4_2"
"258","1_2_3_4","4_2_1_3","2_3_4_1"
"259","4_1_2_3","3_4_1_2","3_4_1_2"
"260","4_1_2_3","4_2_1_3","2_3_4_1"
"261","4_1_2_3","3_1_2_4","2_4_3_1"
"262","2_1_4_3","3_1_2_4","2_3_4_1"
"263","1_3_2_4","3_1_2_4","2_4_3_1"
"264","4_1_3_2","3_4_1_2","3_4_2_1"
"265","3_4_1_2","3_1_2_4","2_4_3_1"
"266","3_2_4_1","3_1_2_4","2_3_4_1"
"267","4_1_2_3","3_4_1_2","3_4_2_1"
"268","4_3_1_2","3_2_1_4","2_3_4_1"
"269","4_1_2_3","4_3_2_1","3_4_1_2"
"270","3_1_4_2","4_1_2_3","1_4_3_2"
"271","3_4_1_2","4_2_1_3","2_3_4_1"
"272","4_1_2_3","3_4_2_1","3_4_1_2"
"273","3_2_4_1","3_2_1_4","2_3_4_1"
"274","4_1_3_2","4_3_1_2","3_4_1_2"
"275","1_3_4_2","4_1_2_3","1_4_3_2"
"276","4_3_2_1","4_1_2_3","1_4_3_2"
"277","4_1_2_3","4_2_1_3","3_4_2_1"
"278","4_2_1_3","3_1_2_4","2_4_3_1"
"279","4_1_3_2","3_4_2_1","3_4_1_2"
"280","1_2_3_4","3_2_1_4","1_4_3_2"
"281","4_1_2_3","4_3_1_2","2_4_3_1"
"282","1_3_2_4","3_2_1_4","1_4_3_2"
"283","4_1_3_2","3_4_2_1","3_4_2_1"
"284","1_3_2_4","3_2_1_4","2_3_4_1"
"285","4_2_3_1","3_2_1_4","1_3_4_2"
"286","1_2_3_4","3_1_2_4","2_4_3_1"
"287","4_1_2_3","4_3_1_2","4_3_1_2"
"288","4_2_1_3","3_1_2_4","1_3_4_2"
"289","3_2_4_1","4_2_1_3","1_4_3_2"
"290","3_2_1_4","3_1_2_4","1_4_3_2"
"291","3_1_2_4","3_2_1_4","1_4_3_2"
"292","4_1_2_3","4_3_2_1","4_3_2_1"
"293","2_1_4_3","3_2_1_4","2_3_4_1"
"294","3_2_1_4","4_1_2_3","1_3_4_2"
"295","1_4_2_3","3_1_2_4","2_4_3_1"
"296","3_2_1_4","3_1_2_4","2_4_3_1"
"297","2_1_3_4","3_1_2_4","1_4_3_2"
"298","4_3_2_1","3_1_2_4","2_4_3_1"
"299","1_2_4_3","3_1_2_4","1_3_4_2"
"300","4_1_2_3","3_4_2_1","3_4_2_1"
"301","2_3_1_4","3_1_2_4","2_3_4_1"
"302","4_3_1_2","4_1_2_3","1_3_4_2"
"303","4_3_2_1","3_2_1_4","2_3_4_1"
"304","2_4_3_1","3_1_2_4","2_4_3_1"
"305","3_2_1_4","4_2_1_3","1_4_3_2"
"306","4_1_2_3","3_4_1_2","4_3_1_2"
"307","2_3_4_1","3_1_2_4","1_4_3_2"
"308","4_1_3_2","4_3_1_2","4_3_1_2"
"309","2_1_4_3","3_1_2_4","1_4_3_2"
"310","2_4_1_3","3_1_2_4","2_4_3_1"
"311","1_3_4_2","3_2_1_4","1_4_3_2"
